"Source:","/home/barbra/Desktop/DoD/Hardware/PCB design/Home.kicad_sch"
"Date:","Sun 26 Nov 2023 03:42:10 PM EAT"
"Tool:","Eeschema 7.0.9-7.0.9~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_D14mm_H7mm_P10mm","~",""
"2","1","D1","LED_RGBK","Device:LED_RGBK","LED_THT:LED_D5.0mm-4_RGB","~",""
"3","1","ESP32_DEVKIT_V1","~","MCU_DOIT_ESP32:ESP32_DEVKIT_V1","esp32:MODULE_ESP32_DEVKIT_V1","",""
"4","1","J1","Fan","Connector:Screw_Terminal_01x03","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~",""
"5","1","J2","LCD","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~",""
"6","1","J3","EM lock","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~",""
"7","1","J4","ACS712 Signal","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~",""
"8","1","J5","Power In","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~",""
"9","2","J7, J8","RFID","Connector:Screw_Terminal_01x03","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~",""
"10","1","J9","LCD ","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~",""
"11","1","K1","SANYOU_SRD_Form_C","Relay:SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf",""
"12","1","LM2596_buck_converter1","5V","Buck_coverter:DC-DC_LM2596_BUCK","DC-DC_Buck_Converter:LM2596_module","",""
"13","1","LM2596_buck_converter2","3.3V","Buck_coverter:DC-DC_LM2596_BUCK","DC-DC_Buck_Converter:LM2596_module","",""
"14","1","U1","ACS712","Sensor_Current_module:ACS712_5B","Sensor_Current:ACS712_5B","",""
"15","1","U3","DHT11","Sensor:DHT11","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf",""
"16","1","U5","PIR","Sensors_Motion_PIR:HC_SR501_PIR","Sensor_motion_PIR:PIR_HC-S501","https://pdf1.alldatasheet.com/datasheet-pdf/view/1131987/ETC2/HC-SR501.html",""
"17","1","U6","MQ2","Sensors_Gas:MQ2","Sensor_Gas:MQ2","https://www.pololu.com/file/0J309/MQ2.pdf",""
