"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","Buzzer","Buzzer_Beeper:Buzzer_D14mm_H7mm_P10mm",""
"2","D1","1","LED_RGBK","LED_THT:LED_D5.0mm-4_RGB",""
"3","ESP32_DEVKIT_V1","1","~","esp32:MODULE_ESP32_DEVKIT_V1",""
"4","J1","1","Fan","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"5","J2","1","LCD","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"6","J3","1","EM LOCK","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm",""
"7","J4","1","ACS712 Signal","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"8","J5","1","Power In","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"9","J6","1","ACS712 Power","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"10","J7, J8","2","RFID","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm",""
"11","J9","1","LCD ","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"12","LM2596_buck_converter1, LM2596_buck_converter2","2","~","DC-DC_Buck_Converter:LM2596_module",""
"13","U1","1","ACS712","Sensor_Current:ACS712_5B",""
"14","U3","1","DHT11","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm",""
"15","U5","1","PIR","Sensor_motion_PIR:PIR_HC-S501",""
"16","U6","1","MQ2","Sensor_Gas:MQ2",""
